customer_id,name,gender,past_3_years_bike_related_purchases,DOB,age,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure
34,Jephthah Bachmann,U,59,1843-12-21,123.00 ,Legal Assistant,IT,Affluent Customer,N,No,20
144,Jory Barrabeale,U,71,,123.00 ,Environmental Tech,IT,Mass Customer,N,No,
168,Reggie Broggetti,U,8,,123.00 ,General Manager,IT,Affluent Customer,N,Yes,
267,Edgar Buckler,U,53,,123.00 ,,IT,High Net Worth,N,No,
290,Giorgio Kevane,U,42,,123.00 ,Senior Sales Associate,IT,Mass Customer,N,No,
451,Marlow Flowerdew,U,37,,123.00 ,Quality Control Specialist,IT,High Net Worth,N,No,
453,Cornelius Yarmouth,U,81,,123.00 ,Assistant Professor,IT,High Net Worth,N,No,
454,Eugenie Domenc,U,58,,123.00 ,Research Nurse,Health,Affluent Customer,N,Yes,
480,Darelle Ive,U,67,,123.00 ,Registered Nurse,Health,Mass Customer,N,Yes,
513,Kienan Soar,U,30,,123.00 ,Tax Accountant,IT,Mass Customer,N,No,
526,Ardelle ,U,9,,123.00 ,Social Worker,Health,Mass Customer,N,Yes,
548,Georgie Cudbertson,U,84,,123.00 ,,IT,High Net Worth,N,Yes,
582,Rhoda McKeown,U,21,,123.00 ,Staff Scientist,IT,Affluent Customer,N,No,
599,Ernestus Cruden,U,48,,123.00 ,Senior Financial Analyst,Financial Services,Mass Customer,N,Yes,
680,Gay Pickersgill,U,22,,123.00 ,,IT,High Net Worth,N,Yes,
685,Booth Birkin,U,28,,123.00 ,Senior Developer,IT,Mass Customer,N,No,
799,Harland Spilisy,U,39,,123.00 ,Programmer I,IT,Mass Customer,N,Yes,
839,Charis Greaves,U,14,,123.00 ,Structural Analysis Engineer,IT,Mass Customer,N,Yes,
883,Lolita Bennie,U,73,,123.00 ,Recruiter,IT,Mass Customer,N,Yes,
892,Conroy Healy,U,22,,123.00 ,Office Assistant II,IT,Mass Customer,N,Yes,
950,Bret Ivakhnov,U,24,,123.00 ,Recruiter,IT,High Net Worth,N,Yes,
975,Goldarina Rzehorz,U,26,,123.00 ,Automation Specialist IV,IT,Mass Customer,N,No,
983,Shaylyn Riggs,U,49,,123.00 ,,IT,Affluent Customer,N,No,
996,Aura Bemlott,U,67,,123.00 ,Assistant Manager,IT,Mass Customer,N,Yes,
1038,Fraser Acome,U,57,,123.00 ,Engineer I,Manufacturing,Mass Customer,N,Yes,
1044,Frederico Whilder,U,4,,123.00 ,Food Chemist,Health,High Net Worth,N,No,
1082,Guinevere Kelby,U,90,,123.00 ,Financial Analyst,Financial Services,Mass Customer,N,Yes,
1174,Shellysheldon Gooderridge,U,9,,123.00 ,Executive Secretary,IT,Mass Customer,N,No,
1210,Shandie Sprigg,U,81,,123.00 ,Programmer II,IT,Mass Customer,N,No,
1244,Glenn Tinham,U,80,,123.00 ,Financial Analyst,Financial Services,Mass Customer,N,Yes,
1351,Lorettalorna ,U,32,,123.00 ,Office Assistant IV,IT,High Net Worth,N,No,
1477,Leo Balharry,U,42,,123.00 ,Actuary,Financial Services,Mass Customer,N,Yes,
